player_id,last_season,current_club_id,name,pretty_name,country_of_birth,country_of_citizenship,date_of_birth,position,sub_position,foot,height_in_cm,market_value_in_gbp,highest_market_value_in_gbp,url,age
82599,2021,48726,valeriy-fedorchuk,Valeriy Fedorchuk,UdSSR,Ukraine,1988-10-05,Midfield,midfield - Central Midfield,Right,178,270000.0,1800000.0,https://www.transfermarkt.co.uk/valeriy-fedorchuk/profil/spieler/82599,33
167791,2021,1301,stefano-beltrame,Stefano Beltrame,Italy,Italy,1993-02-08,Attack,midfield - Attacking Midfield,Right,183,450000.0,540000.0,https://www.transfermarkt.co.uk/stefano-beltrame/profil/spieler/167791,28
394328,2021,1301,rafik-guitane,Rafik Guitane,France,France,1999-05-26,Attack,midfield - Attacking Midfield,Right,164,1800000.0,4500000.0,https://www.transfermarkt.co.uk/rafik-guitane/profil/spieler/394328,22
345345,2021,1301,xadas,Xadas,Portugal,Portugal,1997-12-02,Attack,midfield - Attacking Midfield,Left,179,1350000.0,6750000.0,https://www.transfermarkt.co.uk/xadas/profil/spieler/345345,24
696656,2021,1301,rodrigo-andrade,Rodrigo Andrade,Portugal,Portugal,2001-11-24,Midfield,midfield - Defensive Midfield,Right,180,180000.0,180000.0,https://www.transfermarkt.co.uk/rodrigo-andrade/profil/spieler/696656,20
59322,2021,338,oleksandr-karavaev,Oleksandr Karavaev,Ukraine,Ukraine,1992-06-02,Defender,Defender - Right-Back,Right,175,3600000.0,4500000.0,https://www.transfermarkt.co.uk/oleksandr-karavaev/profil/spieler/59322,29
396443,2021,1301,diogo-mendes,Diogo Mendes,Portugal,Portugal,1998-01-24,Midfield,midfield - Defensive Midfield,Right,182,450000.0,540000.0,https://www.transfermarkt.co.uk/diogo-mendes/profil/spieler/396443,23
217274,2021,1301,tim-soderstrom,Tim Soderstrom,Sweden,Sweden,1994-01-04,Defender,Defender - Right-Back,Right,190,180000.0,450000.0,https://www.transfermarkt.co.uk/tim-soderstrom/profil/spieler/217274,27
606050,2021,1301,pedro-pelagio,Pedro Pelagio,Portugal,Portugal,2000-04-21,Midfield,midfield - Central Midfield,Right,181,450000.0,900000.0,https://www.transfermarkt.co.uk/pedro-pelagio/profil/spieler/606050,21
181783,2021,1301,claudio-winck,Claudio Winck,Brazil,Brazil,1994-04-15,Defender,Defender - Right-Back,Right,184,720000.0,900000.0,https://www.transfermarkt.co.uk/claudio-winck/profil/spieler/181783,27
384741,2021,1301,vitor-costa,Vitor Costa,Brazil,Brazil,1994-07-01,Defender,Defender - Left-Back,Left,182,630000.0,675000.0,https://www.transfermarkt.co.uk/vitor-costa/profil/spieler/384741,27
137192,2021,1301,zainadine-junior,Zainadine Junior,Mozambique,Mozambique,1988-06-24,Defender,Defender - Centre-Back,Right,180,180000.0,1800000.0,https://www.transfermarkt.co.uk/zainadine-junior/profil/spieler/137192,33
817133,2021,1301,moises-mosquera,Moises Mosquera,Colombia,Colombia,2001-05-24,Defender,Defender - Centre-Back,Right,188,180000.0,180000.0,https://www.transfermarkt.co.uk/moises-mosquera/profil/spieler/817133,20
539135,2021,1301,leo-andrade,Leo Andrade,Brazil,Brazil,1998-04-18,Defender,Defender - Centre-Back,Left,190,540000.0,720000.0,https://www.transfermarkt.co.uk/leo-andrade/profil/spieler/539135,23
513346,2021,1301,matheus-costa,Matheus Costa,Brazil,Brazil,1995-01-26,Defender,Defender - Centre-Back,Right,188,540000.0,540000.0,https://www.transfermarkt.co.uk/matheus-costa/profil/spieler/513346,26
698454,2021,1301,pedro-teixeira,Pedro Teixeira,Portugal,Portugal,2001-11-20,Goalkeeper,Goalkeeper,Right,192,90000.0,90000.0,https://www.transfermarkt.co.uk/pedro-teixeira/profil/spieler/698454,20
67886,2021,1301,paulo-victor,Paulo Victor,Brazil,Brazil,1987-01-12,Goalkeeper,Goalkeeper,Left,187,270000.0,4050000.0,https://www.transfermarkt.co.uk/paulo-victor/profil/spieler/67886,34
336756,2021,1301,miguel-silva,Miguel Silva,Portugal,Portugal,1995-04-07,Goalkeeper,Goalkeeper,Right,189,270000.0,2250000.0,https://www.transfermarkt.co.uk/miguel-silva/profil/spieler/336756,26
448783,2021,18105,maksym-grysyo,Maksym Grysyo,Ukraine,Ukraine,1996-05-14,Attack,attack - Right Winger,Right,172,270000.0,270000.0,https://www.transfermarkt.co.uk/maksym-grysyo/profil/spieler/448783,25
126956,2021,1301,edgar-costa,Edgar Costa,Portugal,Portugal,1987-04-14,Attack,attack - Right Winger,Right,177,90000.0,1350000.0,https://www.transfermarkt.co.uk/edgar-costa/profil/spieler/126956,34
